2018-04-26 16:27:38,792  - INFO - d3
2018-04-26 16:28:00,773  - INFO - d3
2018-04-26 16:34:11,104  - INFO - d3
2018-04-26 16:34:27,263  - INFO - d3
2018-04-26 16:45:29,934  - INFO - d1
2018-04-26 16:45:47,114  - INFO - d1
2018-04-26 16:46:00,453  - INFO - d1
2018-04-26 16:52:21,503  - INFO - d1
2018-04-26 16:52:43,206  - INFO - d1
2018-04-26 16:59:32,970  - INFO - d1
2018-04-26 17:00:35,094  - INFO - d1
2018-04-26 17:01:45,476  - INFO - d1
2018-04-26 17:04:48,390  - INFO - d1
2018-04-26 17:07:42,447  - INFO - d1
2018-04-26 17:09:13,792  - INFO - d1
2018-04-26 17:10:32,039  - INFO - d1
2018-04-26 17:14:19,891  - INFO - d3
2018-04-26 17:14:56,805  - INFO - d3
2018-04-26 17:18:19,779  - INFO - d3
2018-04-26 17:19:52,703  - INFO - d3
2018-04-26 17:27:22,140  - INFO - d3
2018-04-26 17:29:04,187  - INFO - d3
2018-04-26 17:34:26,042  - INFO - d3
2018-04-26 17:37:08,898  - INFO - d3
2018-04-26 17:38:50,806  - INFO - d4
2018-04-26 17:39:08,230  - INFO - d4
2018-04-26 17:39:39,548  - INFO - d4
2018-04-26 17:43:38,112  - INFO - d4
2018-04-26 17:46:02,946  - INFO - d4
2018-04-26 18:18:44,750  - INFO - d4
2018-04-26 18:36:52,038  - INFO - d4
2018-04-26 18:37:13,614  - INFO - d4
2018-04-26 19:17:27,289  - INFO - d4
2018-04-26 19:17:56,615  - INFO - d4
